Source,Target,Type,Weight
Biagio di Giorgio da Traù,Francesco Squarcione,undirected,1
Fang Congyi,Luo Zhichuan,undirected,1
Fang Congyi,Wang Zhongyu,undirected,1
Fang Congyi,Shen Du,undirected,1
Fang Congyi,Tövtömör Khan,undirected,1
Fang Congyi,Wang Meng,undirected,1
Fang Congyi,Sa Dula,undirected,1
Fang Congyi,Sheng Mao,undirected,1
Fang Congyi,Cui Fu,undirected,1
Fang Congyi,Togoontömör,undirected,1
Fang Congyi,Wang Lü,undirected,1
Fang Congyi,Wang Yuan,undirected,1
Fang Congyi,Zhao Yuan,undirected,1
Fang Congyi,Wang Zhenpeng,undirected,1
Fang Congyi,Yan Hui,undirected,1
Tövtömör Khan,Wang Meng,undirected,1
Tövtömör Khan,Sa Dula,undirected,1
Tövtömör Khan,Sheng Mao,undirected,1
Tövtömör Khan,Cui Fu,undirected,1
Tövtömör Khan,Togoontömör,undirected,1
Tövtömör Khan,Wang Lü,undirected,1
Tövtömör Khan,Wang Yuan,undirected,1
Tövtömör Khan,Zhao Yuan,undirected,1
Tövtömör Khan,Wang Zhenpeng,undirected,1
Tövtömör Khan,Yan Hui,undirected,1
Wang Meng,Sa Dula,undirected,1
Wang Meng,Sheng Mao,undirected,1
Wang Meng,Cui Fu,undirected,1
Wang Meng,Togoontömör,undirected,1
Wang Meng,Wang Lü,undirected,1
Wang Meng,Wang Yuan,undirected,1
Wang Meng,Zhao Yuan,undirected,1
Wang Meng,Wang Zhenpeng,undirected,1
Wang Meng,Yan Hui,undirected,1
Sa Dula,Sheng Mao,undirected,1
Sa Dula,Cui Fu,undirected,1
Sa Dula,Togoontömör,undirected,1
Sa Dula,Wang Lü,undirected,1
Sa Dula,Wang Yuan,undirected,1
Sa Dula,Zhao Yuan,undirected,1
Sa Dula,Wang Zhenpeng,undirected,1
Sa Dula,Yan Hui,undirected,1
Takashina Takakane,Bompō,undirected,1
Takashina Takakane,Tokusai,undirected,1
Takashina Takakane,Tosa Yukihiro,undirected,1
Takashina Takakane,Josetsu,undirected,1
Takashina Takakane,Nōami,undirected,1
Sheng Mao,Cui Fu,undirected,1
Sheng Mao,Togoontömör,undirected,1
Sheng Mao,Wang Lü,undirected,1
Sheng Mao,Wang Yuan,undirected,1
Sheng Mao,Zhao Yuan,undirected,1
Sheng Mao,Wang Zhenpeng,undirected,1
Sheng Mao,Yan Hui,undirected,1
Song Lian,Liu Ji,undirected,1
Song Lian,Chen Yu,undirected,1
Song Lian,Hua Xiyan,undirected,1
Song Lian,Ke Song,undirected,1
Song Lian,Chen Ruzhi,undirected,1
Song Lian,Tang Su,undirected,1
Song Lian,Wang Lü,undirected,1
Song Lian,Čang Jü,undirected,1
Song Lian,Xu Ben,undirected,1
Song Lian,Yao Guang Xiao,undirected,1
Song Lian,Chen Shuqi,undirected,1
Song Lian,Zheng Shu,undirected,1
Song Lian,Sun Long,undirected,1
Song Lian,Chen Ruyan,undirected,1
Song Lian,Li Zai,undirected,1
Song Lian,Jin Xuan,undirected,1
Song Lian,Bian Jingzhao,undirected,1
Song Lian,Xie Jin,undirected,1
Song Lian,Shen Du,undirected,1
Song Lian,Chu Jen,undirected,1
Song Lian,Chu Jen,undirected,1
Song Lian,Chu Jen,undirected,1
Song Lian,Chu Jen,undirected,1
Song Lian,Hu Guan,undirected,1
Song Lian,Wang Fu,undirected,1
Song Lian,Yu Qian,undirected,1
Song Lian,Xie Huan,undirected,1
Song Lian,Guo Chun,undirected,1
Song Lian,Chen Ji,undirected,1
Song Lian,Zhu Bo,undirected,1
Song Lian,Zhu Zhi,undirected,1
Song Lian,Zhu Quan,undirected,1
Song Lian,Shen Can,undirected,1
Song Lian,Dai Jin,undirected,1
Song Lian,Xia Chang,undirected,1
Song Lian,Zhang Yi,undirected,1
Song Lian,Du Qiong,undirected,1
Song Lian,Ming Xuanzong,undirected,1
Liu Ji,Chen Yu,undirected,1
Liu Ji,Hua Xiyan,undirected,1
Liu Ji,Ke Song,undirected,1
Liu Ji,Chen Ruzhi,undirected,1
Liu Ji,Tang Su,undirected,1
Liu Ji,Wang Lü,undirected,1
Liu Ji,Čang Jü,undirected,1
Liu Ji,Xu Ben,undirected,1
Liu Ji,Yao Guang Xiao,undirected,1
Liu Ji,Chen Shuqi,undirected,1
Liu Ji,Zheng Shu,undirected,1
Liu Ji,Sun Long,undirected,1
Liu Ji,Chen Ruyan,undirected,1
Liu Ji,Li Zai,undirected,1
Liu Ji,Jin Xuan,undirected,1
Liu Ji,Bian Jingzhao,undirected,1
Liu Ji,Xie Jin,undirected,1
Liu Ji,Shen Du,undirected,1
Liu Ji,Chu Jen,undirected,1
Liu Ji,Chu Jen,undirected,1
Liu Ji,Chu Jen,undirected,1
Liu Ji,Chu Jen,undirected,1
Liu Ji,Hu Guan,undirected,1
Liu Ji,Wang Fu,undirected,1
Liu Ji,Yu Qian,undirected,1
Liu Ji,Xie Huan,undirected,1
Liu Ji,Guo Chun,undirected,1
Liu Ji,Chen Ji,undirected,1
Liu Ji,Zhu Bo,undirected,1
Liu Ji,Zhu Zhi,undirected,1
Liu Ji,Zhu Quan,undirected,1
Liu Ji,Shen Can,undirected,1
Liu Ji,Dai Jin,undirected,1
Liu Ji,Xia Chang,undirected,1
Liu Ji,Zhang Yi,undirected,1
Liu Ji,Du Qiong,undirected,1
Liu Ji,Ming Xuanzong,undirected,1
Chen Yu,Hua Xiyan,undirected,1
Chen Yu,Ke Song,undirected,1
Chen Yu,Chen Ruzhi,undirected,1
Chen Yu,Tang Su,undirected,1
Chen Yu,Wang Lü,undirected,1
Chen Yu,Čang Jü,undirected,1
Chen Yu,Xu Ben,undirected,1
Chen Yu,Yao Guang Xiao,undirected,1
Chen Yu,Chen Shuqi,undirected,1
Chen Yu,Zheng Shu,undirected,1
Chen Yu,Sun Long,undirected,1
Chen Yu,Chen Ruyan,undirected,1
Chen Yu,Li Zai,undirected,1
Chen Yu,Jin Xuan,undirected,1
Chen Yu,Bian Jingzhao,undirected,1
Chen Yu,Xie Jin,undirected,1
Chen Yu,Shen Du,undirected,1
Chen Yu,Chu Jen,undirected,1
Chen Yu,Chu Jen,undirected,1
Chen Yu,Chu Jen,undirected,1
Chen Yu,Chu Jen,undirected,1
Chen Yu,Hu Guan,undirected,1
Chen Yu,Wang Fu,undirected,1
Chen Yu,Yu Qian,undirected,1
Chen Yu,Xie Huan,undirected,1
Chen Yu,Guo Chun,undirected,1
Chen Yu,Chen Ji,undirected,1
Chen Yu,Zhu Bo,undirected,1
Chen Yu,Zhu Zhi,undirected,1
Chen Yu,Zhu Quan,undirected,1
Chen Yu,Shen Can,undirected,1
Chen Yu,Dai Jin,undirected,1
Chen Yu,Xia Chang,undirected,1
Chen Yu,Zhang Yi,undirected,1
Chen Yu,Du Qiong,undirected,1
Chen Yu,Ming Xuanzong,undirected,1
Hua Xiyan,Ke Song,undirected,1
Hua Xiyan,Chen Ruzhi,undirected,1
Hua Xiyan,Tang Su,undirected,1
Hua Xiyan,Wang Lü,undirected,1
Hua Xiyan,Čang Jü,undirected,1
Hua Xiyan,Xu Ben,undirected,1
Hua Xiyan,Yao Guang Xiao,undirected,1
